ds,yhat,yhat_lower,yhat_upper
2020-02-01,207.91413653107867,188.98289964618013,226.78669021427888
2020-02-02,204.87005406059842,184.50254851139178,222.4239583425746
2020-02-03,266.4765315434585,247.27295879179056,286.13910762124186
2020-02-04,250.26013993237942,230.9828614297988,271.00406714880427
2020-02-05,247.4674069651524,227.62906995659543,266.6231439148928
2020-02-06,245.61774590683908,226.09140027081216,264.893751992523
2020-02-07,246.495409070518,226.63528739498878,265.9587998124125
2020-02-08,211.5651874059663,191.9417644749346,232.42108202957675
2020-02-09,208.0555339864379,189.16350363018245,228.351867317365
2020-02-10,269.11380342004185,249.4703784043256,287.97089207333715
2020-02-11,252.3401928196012,234.65850695912823,271.937829189902
2020-02-12,248.96036612948245,228.88781903920366,267.469324301152
2020-02-13,246.5154634246939,228.32955239507552,265.05531830855665
2020-02-14,246.805524878351,227.4103353726032,266.2077269944975
2020-02-15,211.32700759024962,191.37635224106336,231.88706220545092
2020-02-16,207.29594556628564,188.00782141607178,225.2934399674917
2020-02-17,264.8969050178228,245.76939777116942,284.8909646329739
2020-02-18,250.68881721547567,233.10457106788826,269.03449908669137
2020-02-19,246.9814036853339,228.23287162287613,267.3505240893167
2020-02-20,244.29156643456867,225.6258018108681,262.9816884694151
2020-02-21,244.6576958850888,225.58280003673062,264.5042375816635
2020-02-22,209.29328852167927,190.61755525589336,227.62479205429347
2020-02-23,205.4778141364088,185.63771604086415,225.33595567849903
2020-02-24,266.5603478022061,247.72454519527668,286.09355466246467
2020-02-25,249.76999074594903,231.3295613772697,268.1355795792256
2020-02-26,246.56167740796022,226.4378581853434,266.9989441882122
2020-02-27,244.441351621225,226.1542201263564,264.19297389106686
2020-02-28,245.21947032873527,226.9832860423285,264.6169074637256
2020-02-29,210.0920475690353,190.56890540447364,228.59142922579306
2020-03-01,206.74794029495467,188.14017298543135,225.63494638033688
2020-03-02,268.73085471000724,249.51433814134305,287.56584672589514
2020-03-03,252.36156745706802,232.90319134179026,271.71260412850336
2020-03-04,249.65382689836815,230.84864916744212,269.76846824981135
2020-03-05,248.02153258543345,227.42918775279261,267.2230632179051
2020-03-06,249.27329776822356,230.40171768931722,269.1016362171902
2020-03-07,214.3510748010367,195.46168023127376,233.68930694684988
2020-03-08,211.35505526276378,192.00691969936858,230.36097298915007
2020-03-09,274.02784672809855,255.49055614217716,293.50213781556704
2020-03-10,257.7883282977212,237.1811769822307,276.65346590974065
2020-03-11,246.88409538366986,226.78244680428074,267.76062978343214
2020-03-12,237.09751165264657,217.7209367129987,255.5112146296439
2020-03-13,229.97081055750837,210.1600183731294,249.00476563232831
2020-03-14,191.0486335945745,172.51714299414226,210.868897064959
2020-03-15,181.25623512851598,162.05645431420157,200.4876354588904
2020-03-16,224.80816978743835,206.71110584515705,244.97489711023633
2020-03-17,202.9111633596293,184.2854540189394,222.21665715019927
2020-03-18,192.240495565141,173.01266807566893,211.47148533974504
2020-03-19,182.4501236461364,163.54808127263613,202.6831387884741
2020-03-20,174.69088185230424,155.25131037898572,194.91059249395934
2020-03-21,143.2367176494561,125.84614826546941,162.92034521388734
2020-03-22,133.8157191199093,114.28562664252463,153.42860046288666
2020-03-23,163.15160072894508,143.5247416883364,181.23431040686913
2020-03-24,144.67732260994322,126.67206234982997,165.09949432482182
2020-03-25,134.4363848602543,115.0188753376927,154.6183032955229
2020-03-26,124.90753363061891,106.22509212961123,143.32689874446464
2020-03-27,116.83871901121839,96.60289168328913,136.9671163028513
2020-03-28,93.2208203481143,74.92755460109974,111.46075631505033
2020-03-29,84.57195243603537,66.18889732998653,102.89971399697062
2020-03-30,109.83461835305086,89.70571239447287,129.7534675168516
2020-03-31,103.68197783017978,83.48246181818239,122.44663044954561
2020-04-01,102.96528230591383,82.75339099209451,123.81388463502097
2020-04-02,102.63798917917947,84.43075427746376,122.49624922866425
2020-04-03,103.46738148899188,85.35447577512025,123.53271544656292
2020-04-04,89.15062730988465,71.24433663452166,108.293244989083
2020-04-05,88.05051129092398,70.44623442876463,107.74834326110968
2020-04-06,114.80901026210347,95.60672506936646,134.59520706584374
2020-04-07,108.2025878229561,87.43005054852394,128.31478769480404
2020-04-08,107.38920158553375,87.94395540924954,126.45948035772167
2020-04-09,107.00562860995382,88.26833535012511,125.55221015610553
2020-04-10,98.5428551672956,79.36013925497159,117.66810582157714
2020-04-11,92.6824549812616,73.24717254970172,112.28227681245123
2020-04-12,91.52583204157604,71.71162571397724,111.07679794393941
2020-04-13,110.28113275068176,92.22045427003049,128.86795237607564
2020-04-14,112.89497317749453,93.35841130165169,132.83937232019676
2020-04-15,112.05787189275155,91.54332464355824,130.29360363970292
2020-04-16,111.68169208140115,93.24487845703881,130.72057407834654
2020-04-17,112.62226356843517,92.83429296554773,130.5090092068695
2020-04-18,96.77841689707442,77.86766056971736,115.38113194291512
2020-04-19,95.75368428494764,75.63490537819654,113.79803852959935
2020-04-20,126.01200617656141,106.29997148898602,146.4821634494843
2020-04-21,118.84128801068756,99.90977249971537,137.44028541914423
2020-04-22,118.18190377745795,99.88549774304512,137.26030466450771
2020-04-23,118.01374124098838,97.333832484513,136.94645062915438
2020-04-24,119.25032139851677,99.98795877688563,139.89103008921072
2020-04-25,102.43826951335294,82.95116985621169,122.3178375716565
2020-04-26,101.41537098265478,81.69535934928746,120.92233579347383
2020-04-27,133.65908533934606,115.48201771417233,153.10430774404975
2020-04-28,126.10592465286328,106.37826151263799,143.93564765787067
2020-04-29,125.48375050145123,106.54651589960912,146.61121102250505
2020-04-30,125.3911552134015,106.01716361353337,143.20052669337926
2020-05-01,126.79571103313815,106.16098842308382,146.3289148311776
2020-05-02,109.06568033484179,89.44544641229176,127.35615617832751
2020-05-03,108.09160613010343,88.92381547625347,127.99765542965513
2020-05-04,142.36223369697458,121.92048574769098,161.99055942092082
2020-05-05,134.4602729764151,115.2023615871965,153.44603127386605
2020-05-06,133.8985795773099,113.3155456576914,153.37366325851931
2020-05-07,133.90856554006695,115.44758125777228,153.50284598427618
2020-05-08,135.49302560010153,115.1875219596042,155.28455849135892
2020-05-09,116.83230713883962,97.56844811806725,136.13082836831242
2020-05-10,115.87908804621351,96.06059967263079,134.61828564586312
2020-05-11,152.15001348276041,133.36354413461046,170.66425322737402
2020-05-12,143.82739455913944,124.62696257025381,163.03008299543498
2020-05-13,143.23680749684468,124.71265412227443,161.49590866971732
2020-05-14,143.20549972780142,125.72759566844626,162.97521190525913
2020-05-15,144.8067210543428,123.6514921192384,164.30494272871204
2020-05-16,125.02330367678323,104.23320769029962,143.7101509739608
2020-05-17,123.89375318594855,104.01319138933847,144.87011735722737
2020-05-18,141.91326218822482,123.94875655253563,159.641598843946
2020-05-19,152.9951352790599,134.0370378489921,172.2901421855536
2020-05-20,152.14678208592227,131.6730550399217,170.06668183015108
2020-05-21,151.8608193071993,133.97175831867415,170.21671742970088
2020-05-22,153.2688441794155,133.62063463382484,173.31459018211453
2020-05-23,132.16117922369915,112.94421062699345,151.69996786814153
2020-05-24,130.66720800952632,111.30647976896687,149.5459743798001
2020-05-25,170.36635858046716,151.1404179472509,189.96325616040818
2020-05-26,160.75002971766264,141.08150323387548,180.54130908547498
2020-05-27,159.66519787326556,139.3712094846562,178.19433601764783
2020-05-28,159.17455888347223,138.7266466856153,177.5314316442013
2020-05-29,160.47700887815284,139.7998168238593,179.61716791670162
2020-05-30,138.06605352048985,119.05150105754294,155.5229738598183
2020-05-31,136.33478704061403,117.90078324272206,154.97027523644917
2020-06-01,178.0860206915928,158.77117437675523,196.7982875113183
2020-06-02,167.7037189579414,147.7226127103622,187.554770213667
2020-06-03,166.35960668942639,147.57795999305384,187.20489274567996
2020-06-04,165.6823775964935,146.62868126372894,186.42261690058098
2020-06-05,166.93642649731785,147.74546157611553,186.76632554997008
